x,y,long,short,radian,bool
152.339,897.339,2.516,3.521,44.999,0.0
147.339,897.660,2.516,3.521,135.0,0.0
144.5,896.0,2.1213,3.0,90.0,0.0
115.95,900.003,2.2475,8.653,177.82,0.0
124.14,898.056,1.9737,5.8867,154.483,0.0
141.5,894.0,2.1213,3.0,90.0,0.0
1065.5,894.0,3.2469,4.248,0.0,0.0
896.682128,893.596,3.514,20.11,88.296,0.0
148.44,903.740,24.753,30.168,122.84,0.0
128.470,892.11,6.218,6.9386,80.770,0.0
1029.932,890.383,3.7400,19.985,88.848,0.0
1065.119,894.223,3.3563,10.650,14.062,0.0
899.723,883.664,3.6199,29.910,88.260,0.0
1026.0,880.5,3.2432,32.83,90.19,0.0
902.705,873.757,3.88,50.69,88.09,0.0
1017.57,870.81,3.963,44.25,88.83,0.0
1069.30,881.38,3.651,24.626,162.63,0.0
964.754,921.675,117.03,122.92,76.92,1.0
99.5,863.0,2.2139,10.685,90.0,0.0
911.496,863.631,3.8593,83.46,88.42,0.0
93.66,862.660,2.5162,3.521,44.999,0.0
173.0,861.0,2.2215,6.497,90.0,0.0
163.5,861.0,2.2139,10.685,90.0,0.0
1012.864,861.02,3.9330,60.35,88.66,0.0
204.05,859.220,3.3797,56.83,88.40,0.0
1106.0,860.0,0.0,0.001464,0.0,0.0
223.5,857.0,2.1572,24.601,90.0,0.0
962.56,852.480,3.9057,233.96,88.52,0.0
206.63,849.678,3.1707,134.11,89.330566,0.0
1076.5,849.5,0.9993,28.553,0.07010,0.0
242.598,849.195,3.013,4.140,21.04,0.0
130.70,844.006,2.2051,6.511,86.262,0.0
782.660,842.660,2.5162,3.5216,45.0,0.0
109.0,843.5,0.0,0.0008,180.0,0.0
780.0,840.0,2.1821,4.082,90.0,0.0
776.5,840.0,2.1213,3.0,90.0,0.0
125.22,842.496,1.7376,6.347,34.130,0.0
187.5,839.0,0.0,0.001,0.0,0.0
121.68,840.01,1.9236,3.793,24.001,0.0
115.02,842.194824,2.255,7.996,1.1904,0.0
200.43,838.501,5.377,98.22,88.73,0.0
1041.0,835.0,2.1821,4.082,90.0,0.0
695.892,840.314941,6.8304,182.448,88.266,0.0
139.5,835.0,2.2105,5.249,90.0,0.0
135.339,834.660,2.516,3.521,135.0,0.0
1109.5,844.745,0.0,1.0,180.0,0.0
787.339,832.339,2.5162,3.5216,45.0,0.0
587.555,833.803,5.164,6.724,91.57,0.0
136.5,832.0,2.1213,3.0,90.0,0.0
121.68,833.98,1.9236,3.793,155.99,0.0
138.660,830.660,2.516,3.521,44.999,0.0
1106.5,842.0,0.0,1.0,180.0,0.0
140.660,828.660,2.516,3.521,44.999,0.0
124.78,830.723,1.6168,7.175,137.95,0.0
138.75,834.28,9.092,19.800,21.442,0.0
128.30,828.409,4.092,5.283,77.61,0.0
115.5,831.128,2.693,7.481,0.0,0.0
695.734,832.073,7.602,205.219,88.06,0.0
1100.0,825.499,0.03334,0.1102,163.13,0.0
792.0,824.5,2.1213,3.0,0.0,0.0
712.5,824.0,2.1213,3.0,90.0,0.0
248.0,824.5,2.1213,3.0,0.0,0.0
162.5,822.0,2.1213,3.0,90.0,0.0
793.5,822.0,2.403,4.535,35.45,0.0
556.0,820.0,2.1821,4.082,90.0,0.0
204.378,821.871,4.42,94.037,88.85,0.0
165.0,817.5,2.1213,3.0,0.0,0.0
162.5,817.5,3.1622,3.1622,0.0,0.0
206.49,816.786621,3.3195,105.66,88.94,0.0
140.70,816.410,3.017,8.025,81.11,0.0
136.339,816.339,2.516,3.521,44.999,0.0
128.003,819.117675,5.368,6.091,103.68,0.0
1095.032,824.361,1.6723,16.977,169.12,0.0
70.0,815.5,2.1213,3.0,0.0,0.0
108.63,819.921,2.8783,29.740,177.97,0.0
1111.0,817.0,0.0,0.00,0.0,0.0
122.78,817.326,1.3458,8.49,29.52,0.0
115.5,817.263183,0.0,1.0,0.0,0.0
957.796,813.374,4.7446,5.814,63.673,0.0
946.5,813.5,4.893,4.893,0.0,0.0
935.139,813.9375,5.076,5.704,56.50,0.0
923.625,814.203,4.7446,5.814,26.326,0.0
135.80,812.804,2.4433,5.4782,45.0,0.0
1002.851,812.259,4.652,5.673,76.69,0.0
991.5,812.5,4.893,4.893,0.0,0.0
980.174,812.825,5.018,5.980,45.0,0.0
969.139,812.9375,5.076,5.704,56.50,0.0
1248.90,856.74,30.397,90.67,168.162,0.0
138.5,810.5,3.1622,3.1622,0.0,0.0
338.475,811.02,4.33,9.676,76.29,0.0
941.0,808.451,5.164,5.4005,90.0,0.0
929.5,808.5,4.893,4.893,0.0,0.0
682.321,813.230,6.074,289.249,88.67,0.0
963.5,807.5,4.893,4.893,0.0,0.0
952.0,808.0,5.251,5.251,0.0,0.0
